"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"BOLD_bin"	"SCFYMN"	"SKVHMG"	"SDD4G5"	"SFKMCD"	"SM6D3B"	"SQYDDG"	"SHLY4A"	"SKA8NJ"	"SASQEH"	"ST2SCC"	"SSJSP9"	"SZCD49"	"SK91LD"	"SQ1CGZ"	"SZNYJX"	"S6TGBG"	"SCECHR"	"SUNVYF"	"SWKRGL"	"SGZUHD"	"SUXVVU"	"SSY7BM"	"SNYBEM"	"SQQBCH"	"SUTTXP"	"S8APX1"	"SLWUQ2"	"S5MEZA"	"SY34ZS"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SCNXZK"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SBWPUY"	"SC1YIM"	"SACBBR"
"Acrididae_cluster4"	"d0321a92fa67b119f68d0602c0ab7f74"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Omocestus"	"Omocestus_X"	"BOLD:AAE1108"	0	0	0	0	0	0	0	178	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster44"	"4fdbf298016f0301de09268e668cdad7"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster5"	"6c37c07e1d8e01042dac242f693cb3f3"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"Chorthippus"	"Chorthippus_X"	"BOLD:AAC3399"	0	0	0	0	0	0	0	2676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster55"	"f56b5fe32e16de677a430cb1c0c4a0e7"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster9"	"3896bfff2673f5fb1043f68ce129bf74"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adelidae_cluster13"	"25414cd63357abe4b4e0981c0888ca31"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Adelidae"	"Nemophora"	"Nemophora bellella"	"BOLD:ACE9215"	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adelidae_cluster7"	"633702c4278d9d36a35aef85604d47b6"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Adelidae"	"Nemophora"	"Nemophora degeerella"	"BOLD:AAC1892"	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster2"	"2d36ccc03be282ca2bec9eeff8736097"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	"Aeolothrips_X"	"BOLD:ACM1798"	0	229	3	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster3"	"ae67626c7a61d7f89e1f3d3ec7ea291f"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	"Aeolothrips_X"	"BOLD:ACE1455"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster4"	"f3fb547d2dae6bbdff0c11ae30ac9e0f"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	"Aeolothrips albicinctus"	"BOLD:ACE2759"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster7"	"31e2e008e14d4620d508533e2ee6d88e"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	"Aeolothrips intermedius"	"BOLD:ACD4587"	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agelenidae_cluster1"	"2dfdffb5a23cb928aed6f11fd9d467e0"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Agelenidae"	"Agelena"	"Agelena labyrinthica"	"unclassified.Agelena labyrinthica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster1"	"12e8563aa8e274d3efc52ca8e3af0720"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyza"	"Agromyza nigripes"	"BOLD:ACD3364"	0	0	0	86	0	6732	0	2952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster10"	"1e9d91996ade9beb1166292db3e3ed3c"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyza"	"Agromyza anthracina"	"BOLD:ACD3502"	0	0	0	62	0	0	0	8645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster100"	"8ccc32e6b4c565254f3a119a2c7981dc"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Ophiomyia"	"Ophiomyia cunctata"	"BOLD:ACD8805"	0	0	328	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster104"	"a2cf0a254a869a185df6bbbd255b3523"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Cerodontha"	"Cerodontha muscina"	"BOLD:ACF7184"	0	0	0	0	0	0	0	147	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
