"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"present"	"cluster"	"ASV"	"Kingdom"	"reads"
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SCECHR"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	500
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SCNXZK"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	42606
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SDD4G5"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	3439
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SHLY4A"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	18212
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SIRUBH"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	67801
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SKVHMG"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	1243
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SLWUQ2"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	7348
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SQYDDG"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	40961
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SSJSP9"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	16434
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SSY7BM"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	125941
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SUNVYF"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	17214
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SUTTXP"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	24686
"Bombus"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Apidae"	"SY34ZS"	1	"Apidae_cluster1"	"dc0c9e8d1b304ab0a638577cb095ea1d"	"Animalia"	18501
"Brachypalpus"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQ1CGZ"	1	"Syrphidae_cluster18"	"6010657af41e85164d354320afefabea"	"Animalia"	1598
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"S5MEZA"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	2484
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"S6TGBG"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	101
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SASQEH"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	114
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SCECHR"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	400
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SCNXZK"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	17922
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SDD4G5"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	79
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SFKMCD"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	79
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SGZUHD"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	456
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SHLY4A"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	3065
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SK91LD"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	924
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SKA8NJ"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	95
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SKVHMG"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	943
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SKYQAL"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	29717
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SM6D3B"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	753
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SQ1CGZ"	1	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	1724
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SQYDDG"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	897
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"ST2SCC"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	70
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SUTTXP"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	1956
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SUXEKB"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	60
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SUXVVU"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	1844
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SWKRGL"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	591
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SZCD49"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	518
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SZNYJX"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	86
"Brassicogethes"	"Arthropoda"	"Insecta"	"Coleoptera"	"Nitidulidae"	"SQYDDG"	1	"Nitidulidae_cluster1"	"cc9adda65b25f26cccd49f9b2c14bb26"	"Animalia"	3863
"Brassicogethes"	"Arthropoda"	"Insecta"	"Coleoptera"	"Nitidulidae"	"SUXVVU"	0	"Nitidulidae_cluster1"	"cc9adda65b25f26cccd49f9b2c14bb26"	"Animalia"	348
"Buathra"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SM6D3B"	0	"Ichneumonidae_cluster21"	"804abd32ae7c10df2b0e0b8bf261b4bf"	"Animalia"	289
"Calliphora"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SCECHR"	1	"Calliphoridae_cluster2"	"7f9734df0c9c8fab30511a2e225c1175"	"Animalia"	34849
"Calliphora"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SHLY4A"	0	"Calliphoridae_cluster2"	"7f9734df0c9c8fab30511a2e225c1175"	"Animalia"	4712
"Calliphora"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SK91LD"	0	"Calliphoridae_cluster2"	"7f9734df0c9c8fab30511a2e225c1175"	"Animalia"	6585
"Calliphora"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SSJSP9"	0	"Calliphoridae_cluster2"	"7f9734df0c9c8fab30511a2e225c1175"	"Animalia"	5745
"Calliphora"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SUNVYF"	1	"Calliphoridae_cluster2"	"7f9734df0c9c8fab30511a2e225c1175"	"Animalia"	9247
"Calliphora"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SZCD49"	0	"Calliphoridae_cluster2"	"7f9734df0c9c8fab30511a2e225c1175"	"Animalia"	1546
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"S6TGBG"	0	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	1369
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SFKMCD"	1	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	5128
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SHLY4A"	0	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	11
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SKVHMG"	1	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	30901
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SM6D3B"	1	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	45276
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SQ1CGZ"	1	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	12212
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SQYDDG"	0	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	3014
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SSJSP9"	0	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	238
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SUXVVU"	1	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	198861
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SZCD49"	0	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	134
"Carcina"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Oecophoridae"	"ST2SCC"	1	"Oecophoridae_cluster1"	"1d96ad65ffb89aac664dee93b5fddede"	"Animalia"	2892
"Charanyca"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"S6TGBG"	1	"Noctuidae_cluster19"	"274cca29fc7e02f850202c30d5a6c8ad"	"Animalia"	8402
"Charanyca"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SDD4G5"	1	"Noctuidae_cluster19"	"274cca29fc7e02f850202c30d5a6c8ad"	"Animalia"	12967
"Charanyca"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SQYDDG"	1	"Noctuidae_cluster19"	"274cca29fc7e02f850202c30d5a6c8ad"	"Animalia"	22355
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SCFYMN"	1	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	6501
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SHLY4A"	0	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	223
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQ1CGZ"	0	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	689
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SSJSP9"	1	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	3144
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SDD4G5"	1	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	15141
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SFKMCD"	1	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	4411
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SKA8NJ"	1	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	447
"Chrysoteuchia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"SQYDDG"	1	"Crambidae_cluster1"	"a1d6d6be6aa170604cde1f0ec6c73e47"	"Animalia"	1581
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"S6TGBG"	1	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	7526
"Chrysotoxum"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SCFYMN"	1	"Syrphidae_cluster4"	"c49ec786c9845b2e55bf4611541bd1f7"	"Animalia"	10375
