"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SCFYMN"	"SKVHMG"	"SDD4G5"	"SFKMCD"	"SM6D3B"	"SQYDDG"	"SHLY4A"	"SKA8NJ"	"SASQEH"	"ST2SCC"	"SSJSP9"	"SZCD49"	"SK91LD"	"SQ1CGZ"	"SZNYJX"	"S6TGBG"	"SCECHR"	"SUNVYF"	"SWKRGL"	"SGZUHD"	"SUXVVU"	"SSY7BM"	"SNYBEM"	"SQQBCH"	"SUTTXP"	"S8APX1"	"SLWUQ2"	"S5MEZA"	"SY34ZS"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SCNXZK"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SBWPUY"	"SC1YIM"	"SACBBR"
"Agromyzidae_cluster120"	"79a8e9487a8ffada0e267d2d13dc0df6"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"unclassified.Agromyzidae"	0	0	0	0	0	0	0	2299	0	0	0	71	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster129"	"4a7efc6f3b4ee4a1640cf7bfc00e6cbb"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Liriomyza"	0	0	1236	2595	882	1859	0	21248	0	0	0	0	1015	8947	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster139"	"beb054b835880a7f3a402aa2a11f4945"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Metopomyza"	0	0	0	0	0	381	1010	0	0	0	0	0	0	2780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster172"	"f62eedcd9526ebb8ce98b1f225ce3783"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Aulagromyza"	0	0	0	165	1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster189"	"7ed88050a9e17c64032cb72edf91338b"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Melanagromyza"	0	0	0	196	0	0	0	1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster25"	"f3b2058d890bced4d7b16080bfdadb0c"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Phytobia"	0	0	250	0	0	463	0	9494	0	0	0	0	0	0	0	0	0	0	0	0	0	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster3"	"bb5ca494b5588d52316e2718bc29c198"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Chromatomyia"	0	0	0	0	642	151	0	0	0	0	0	0	0	1249	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster37"	"2a639957f1c3e73ecb421c53350a7821"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Calycomyza"	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster40"	"91bd97dab91d7cea38e0bbb43516863d"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Pseudonapomyza"	0	0	259	0	0	0	0	10083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster55"	"6cfdbbb9d68a70388c49e986f173b7f4"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Napomyza"	0	0	0	0	2080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
