"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"cluster"	"ASV"	"Kingdom"	"present"	"lys_reads"	"hom_reads"
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SK91LD"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	740	440
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SKA8NJ"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	16100	7598
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SM6D3B"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	128557	37117
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SQ1CGZ"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	5127	989
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SQYDDG"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	105770	59934
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SUNVYF"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	7	0
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SUXVVU"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	0	49216	43421
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SZCD49"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	0	398	362
"Dolichovespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SGZUHD"	"Vespidae_cluster1"	"87dbac9dee4226bb8b096c47427610ab"	"Animalia"	0	5	0
"Dolichovespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SQ1CGZ"	"Vespidae_cluster1"	"87dbac9dee4226bb8b096c47427610ab"	"Animalia"	1	94	4379
"Dolichovespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SQYDDG"	"Vespidae_cluster1"	"87dbac9dee4226bb8b096c47427610ab"	"Animalia"	1	419	54201
"Dolichovespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SSJSP9"	"Vespidae_cluster1"	"87dbac9dee4226bb8b096c47427610ab"	"Animalia"	1	2434	9691
"Dolichovespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SUNVYF"	"Vespidae_cluster1"	"87dbac9dee4226bb8b096c47427610ab"	"Animalia"	1	361	46632
"Dolichovespula"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Vespidae"	"SZNYJX"	"Vespidae_cluster1"	"87dbac9dee4226bb8b096c47427610ab"	"Animalia"	1	65	187335
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"S5MEZA"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	21	433
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"S6TGBG"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"S8APX1"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	211	2031
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SACBBR"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SASQEH"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SBWPUY"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	137	3282
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SC1YIM"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SCECHR"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SCFYMN"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	48	106
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SCNXZK"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SDD4G5"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SFKMCD"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	412	53
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SG3CB2"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SGZUHD"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SHLY4A"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	525	144
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SIRUBH"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SIUQ3G"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SK91LD"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	138	192
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SKA8NJ"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	58	171
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SKVHMG"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SKYQAL"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SLWUQ2"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	6	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SM6D3B"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	3	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SNYBEM"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SQ1CGZ"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SQQBCH"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SQVR9H"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SQYDDG"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	93	364
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SSJSP9"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SSY7BM"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	5	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"ST2SCC"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"STHFJP"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SUNVYF"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SUTTXP"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	3	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SUXEKB"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SUXVVU"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SWKRGL"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SY34ZS"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	736	3333
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SZCD49"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Drosophila"	"Arthropoda"	"Insecta"	"Diptera"	"Drosophilidae"	"SZNYJX"	"Drosophilidae_cluster11"	"7adf586efea1c46bf9485520abad9de0"	"Animalia"	1	0	0
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"S6TGBG"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	0	18	36
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SDD4G5"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	1	14	572
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SFKMCD"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	0	1786	996
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SHLY4A"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	1	4501	4288
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SKA8NJ"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	0	134	81
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SKVHMG"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	1	12	31
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SQ1CGZ"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	0	34	219
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SQYDDG"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	1	143	3640
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SSJSP9"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	0	214	51
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SUNVYF"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	1	389	4605
"Dusona"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SZCD49"	"Ichneumonidae_cluster1097"	"de66a93ae2b3c5506000807bbb23f163"	"Animalia"	0	485	743
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"S6TGBG"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	1	9606	2367
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"S8APX1"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	0	387	5535
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SASQEH"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	1	21514	4845
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SFKMCD"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	0	205	41
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SGZUHD"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	0	9093	2609
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SHLY4A"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	0	8678	2548
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SK91LD"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	1	22915	3209
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SQQBCH"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	0	5468	1426
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SWKRGL"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	1	8781	28296
"Epinotia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"SZCD49"	"Tortricidae_cluster1"	"1e5b3bcd7f5d958f6fbc6d84ad92a266"	"Animalia"	0	980	1127
"Episyrphus"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SCFYMN"	"Syrphidae_cluster2"	"723f72503984190cce8f182870932fed"	"Animalia"	1	2728	2789
"Episyrphus"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SFKMCD"	"Syrphidae_cluster2"	"723f72503984190cce8f182870932fed"	"Animalia"	1	12629	12345
"Episyrphus"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SKA8NJ"	"Syrphidae_cluster2"	"723f72503984190cce8f182870932fed"	"Animalia"	1	4323	965
"Episyrphus"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQYDDG"	"Syrphidae_cluster2"	"723f72503984190cce8f182870932fed"	"Animalia"	1	5607	12508
"Eulithis"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Geometridae"	"SSJSP9"	"Geometridae_cluster4"	"c68fe8dfa3ba521bb5e4854de3d8030f"	"Animalia"	1	4704	507
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SDD4G5"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	723	5151
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SFKMCD"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	6782	13090
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SKA8NJ"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	1304	2242
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SKVHMG"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	24004	25943
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SM6D3B"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	30451	78195
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQYDDG"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	748	6727
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SUTTXP"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	1522	4751
"Eupeodes"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SUXVVU"	"Syrphidae_cluster8"	"57fdbd7825d2da1fe1c1212131b8f526"	"Animalia"	1	4817	23366
"Eupithecia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Geometridae"	"S6TGBG"	"Geometridae_cluster107"	"d7f7bb3e5f0b4f9fbf566e34d9af0ff8"	"Animalia"	0	2799	630
"Eupithecia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Geometridae"	"SFKMCD"	"Geometridae_cluster107"	"d7f7bb3e5f0b4f9fbf566e34d9af0ff8"	"Animalia"	0	560	548
"Eupithecia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Geometridae"	"SHLY4A"	"Geometridae_cluster107"	"d7f7bb3e5f0b4f9fbf566e34d9af0ff8"	"Animalia"	0	3	2
"Eupithecia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Geometridae"	"SWKRGL"	"Geometridae_cluster107"	"d7f7bb3e5f0b4f9fbf566e34d9af0ff8"	"Animalia"	1	38743	103175
"Forficula"	"Arthropoda"	"Insecta"	"Dermaptera"	"Forficulidae"	"SDD4G5"	"Forficulidae_cluster2"	"76340d436ee2a48fc53b8a00be57ec8e"	"Animalia"	1	79146	13670
"Forficula"	"Arthropoda"	"Insecta"	"Dermaptera"	"Forficulidae"	"SFKMCD"	"Forficulidae_cluster2"	"76340d436ee2a48fc53b8a00be57ec8e"	"Animalia"	0	237	107
"Forficula"	"Arthropoda"	"Insecta"	"Dermaptera"	"Forficulidae"	"SQYDDG"	"Forficulidae_cluster2"	"76340d436ee2a48fc53b8a00be57ec8e"	"Animalia"	1	13091	5378
"Forficula"	"Arthropoda"	"Insecta"	"Dermaptera"	"Forficulidae"	"ST2SCC"	"Forficulidae_cluster2"	"76340d436ee2a48fc53b8a00be57ec8e"	"Animalia"	1	16303	3270
"Halesus"	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	"SGZUHD"	"Limnephilidae_cluster31"	"3fec1718dfda9263be28d379fa085666"	"Animalia"	1	882	6803
"Hydriomena"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Geometridae"	"SUNVYF"	"Geometridae_cluster6"	"0e040be0adf285b942ee967a3167729f"	"Animalia"	1	2098	1049
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SBWPUY"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	1	41	2274
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SCFYMN"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	0	9	56
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SDD4G5"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	0	8	362
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SHLY4A"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	1	5	881
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SKA8NJ"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	1	2744	2875
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SQYDDG"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	1	9	765
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SSJSP9"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	0	27	29
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"ST2SCC"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	0	533	426
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SUNVYF"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	0	0	187
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SUTTXP"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	0	6	792
"Ichneumon"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"SY34ZS"	"Ichneumonidae_cluster176"	"ee8e5c307c719e90cf31bcf26a9c7819"	"Animalia"	1	163	2571
"Incurvaria"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Incurvariidae"	"SM6D3B"	"Incurvariidae_cluster1"	"ba19ed2d5b71a24f5d06fa5fbb16d15c"	"Animalia"	1	992	425
"Incurvaria"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Incurvariidae"	"SQYDDG"	"Incurvariidae_cluster1"	"ba19ed2d5b71a24f5d06fa5fbb16d15c"	"Animalia"	0	650	1111
"Leuctra"	"Arthropoda"	"Insecta"	"Plecoptera"	"Leuctridae"	"SGZUHD"	"Leuctridae_cluster3"	"0abd1a6d3705db0c7620d27c2869b2a1"	"Animalia"	1	59999	15451
"Limnephilus"	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	"SCECHR"	"Limnephilidae_cluster10"	"ea7693c9e860a6e735e55ca438c5f735"	"Animalia"	0	73	220
"Limnephilus"	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	"SGZUHD"	"Limnephilidae_cluster10"	"ea7693c9e860a6e735e55ca438c5f735"	"Animalia"	1	3082	9678
"Limnephilus"	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	"SM6D3B"	"Limnephilidae_cluster10"	"ea7693c9e860a6e735e55ca438c5f735"	"Animalia"	1	5082	5407
"Limnephilus"	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	"SQ1CGZ"	"Limnephilidae_cluster10"	"ea7693c9e860a6e735e55ca438c5f735"	"Animalia"	0	641	192
"Limnephilus"	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	"SZCD49"	"Limnephilidae_cluster10"	"ea7693c9e860a6e735e55ca438c5f735"	"Animalia"	1	670	1239
"Lucilia"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SKA8NJ"	"Calliphoridae_cluster10"	"00ffeab84c91d65cdc91a4a5033fb513"	"Animalia"	0	1629	5016
"Lucilia"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SQYDDG"	"Calliphoridae_cluster10"	"00ffeab84c91d65cdc91a4a5033fb513"	"Animalia"	0	1929	15515
"Lucilia"	"Arthropoda"	"Insecta"	"Diptera"	"Calliphoridae"	"SUTTXP"	"Calliphoridae_cluster10"	"00ffeab84c91d65cdc91a4a5033fb513"	"Animalia"	1	65795	13957
"Lycaena"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Lycaenidae"	"SQ1CGZ"	"Lycaenidae_cluster8"	"310bd0d75f209cfa8b946ae74a434603"	"Animalia"	1	219	578
"Maniola"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Nymphalidae"	"SKA8NJ"	"Nymphalidae_cluster12"	"e91599c66a78bb430e8ed335f7fb57dc"	"Animalia"	1	612	1659
"Melanostoma"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SK91LD"	"Syrphidae_cluster7"	"e812659db8ce6915fc55b79d6ffd3cc6"	"Animalia"	0	313	920
"Melanostoma"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SKA8NJ"	"Syrphidae_cluster7"	"e812659db8ce6915fc55b79d6ffd3cc6"	"Animalia"	1	67308	15294
"Melanostoma"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQ1CGZ"	"Syrphidae_cluster7"	"e812659db8ce6915fc55b79d6ffd3cc6"	"Animalia"	0	666	245
"Melanostoma"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQYDDG"	"Syrphidae_cluster7"	"e812659db8ce6915fc55b79d6ffd3cc6"	"Animalia"	1	87	4767
"Melanostoma"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SUNVYF"	"Syrphidae_cluster7"	"e812659db8ce6915fc55b79d6ffd3cc6"	"Animalia"	0	65	395
"Myathropa"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SDD4G5"	"Syrphidae_cluster52"	"518f1f57c84bb54c8a24d49871a7a9e1"	"Animalia"	1	1602	13376
"Mythimna"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SDD4G5"	"Noctuidae_cluster52"	"d53c9869c64100d7d9842998197887ed"	"Animalia"	1	10699	25643
"Mythimna"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SKA8NJ"	"Noctuidae_cluster52"	"d53c9869c64100d7d9842998197887ed"	"Animalia"	0	6	0
"Mythimna"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SQYDDG"	"Noctuidae_cluster52"	"d53c9869c64100d7d9842998197887ed"	"Animalia"	1	7790	17848
"Nemoura"	"Arthropoda"	"Insecta"	"Plecoptera"	"Nemouridae"	"SHLY4A"	"Nemouridae_cluster1"	"8323fe8ff3e756ce2786f028faf049e5"	"Animalia"	1	188842	31887
"Nemoura"	"Arthropoda"	"Insecta"	"Plecoptera"	"Nemouridae"	"SKA8NJ"	"Nemouridae_cluster1"	"8323fe8ff3e756ce2786f028faf049e5"	"Animalia"	0	123302	6923
